화면 구분,기능 구분,화면명/경로,주요 기능(컴포넌트/버튼),기능 흐름/상태,정책/유의사항,입력/출력 데이터 구조
1. 회원가입/로그인,회원가입,/auth/join,"회원유형 선택(인플루언서/판매사), 이메일/휴대폰 입력, 인증번호 요청/입력, 이름/상호명, 비밀번호, 카카오/네이버/구글 로그인, 약관동의, 가입완료",1. 유형 선택 → 본인인증 → 정보입력 → 완료,"중복가입 방지, 사업자 등록증(판매사, 선택), 실명인증 API","{type, email/phone, password, name/company, business_file, agree_terms}"
1. 회원가입/로그인,로그인,/auth/login,"이메일/휴대폰+비밀번호, SNS 로그인, 비밀번호 찾기, 로그인유지",1. 입력→인증→메인 이동,5회 실패시 캡챠/잠금,"{id, password, sns_token, remember}"
1. 회원가입/로그인,비밀번호 찾기/재설정,/auth/reset,"이메일/휴대폰 입력, 인증번호, 새 비밀번호 입력",1. 정보입력→인증→비번재설정,"비밀번호 정책(8자 이상, 특수문자 포함)","{id, new_password, cert_code}"
2. 프로필/인증,인플루언서 프로필 등록/수정,/profile/edit,"사진, 활동명, 연락처, 지역, SNS계정, 팔로워수, 카테고리(다중), 포트폴리오(이미지/영상 첨부), 가격정책, 자기소개, 서비스 가능 시간, 저장",1. 정보입력→임시저장/완료,"SNS계정, 팔로워 실적 검증(선택), 포트폴리오 업로드/미리보기","{photo, nickname, phone, region, sns[], followers, category[], portfolio[], price_type, price_amount, intro, available_time[]}"
2. 프로필/인증,판매사 프로필 등록/수정,/profile/edit,"상호, 담당자, 연락처, 업종, 사업자등록증(첨부), 브랜드, 알림설정, 저장",1. 정보입력→저장/완료,사업자등록증 파일 업로드(선택),"{company, manager, phone, business_file, sector, brand, alarm_setting}"
2. 프로필/인증,프로필 보기,/profile/view,"프로필요약/상세, 인증뱃지, 포트폴리오/리뷰, 수정 바로가기","1. 요약→상세, 상태별 뱃지",실명/사업자 미인증 시 일부 제한,"{all_profile_info, review_list, badge_status}"
3. 캠페인/제안/매칭,캠페인 등록,/campaign/new,"캠페인명, 카테고리(다중), 예산, 기간, 상세 설명, 타겟 조건, 첨부파일, 임시저장/등록",1. 정보입력→임시저장/등록,"최소 필수정보, 예산/기간 검증, 임시저장","{name, category[], budget, period, desc, target, files[]}"
3. 캠페인/제안/매칭,캠페인 관리,"/campaign/list, /campaign/detail","내 캠페인 리스트/상세, 진행상태(진행중/모집중/종료), 수정/삭제, 지원 인플루언서 리스트",1. 목록→상세/수정/삭제,종료/진행 캠페인 수정/삭제 제한,"{campaign_list, status, applicants[]}"
3. 캠페인/제안/매칭,인플루언서 리스트/검색,/influencer/search,"필터(카테고리, 지역, 팔로워, 인증 등), 정렬, 간략/상세프로필, 지원요청",1. 필터/정렬→상세/지원,"지원불가 조건(중복, 미인증 등) 체크","{search_filter, influencer_list}"
3. 캠페인/제안/매칭,인플루언서 상세,/influencer/{id},"프로필/포트폴리오/리뷰, 협업 제안, 포트폴리오 미리보기, 리뷰작성/신고",1. 정보확인→협업제안/문의,미인증/신뢰도 낮은 계정 제한,"{profile, portfolio, review_list}"
3. 캠페인/제안/매칭,자동매칭 결과,/match/auto,"카테고리/예산/조건 기반 자동매칭 리스트, 지원/제안",1. 조건입력→자동매칭 리스트 제공,매칭 알고리즘 기준 문서화,"{match_list, score, rank}"
3. 캠페인/제안/매칭,제안 관리,"/proposal/list, /proposal/detail","내 제안 리스트/상세, 상태(제안/수락/거절/계약 등), 제안수락/거절/취소",1. 제안→상태확인→수락/거절,동시 제안/계약 중복 방지,"{proposal_id, status, history}"
4. 협업/계약/결제/정산,채팅,/chat/{roomId},"1:1 메시지, 파일전송(이미지/문서), 읽음/전송상태, 신고/나가기",1. 채팅→파일전송→상태확인,"파일용량 제한, 욕설필터","{chat_id, sender, msg, file, timestamp, read_status}"
4. 협업/계약/결제/정산,계약/협업 확정,"/contract/new, /contract/{id}","협업 조건/일정 확인, 계약 내용 입력, 전자서명, 계약서 다운로드, 확정/취소",1. 조건확인→서명→확정/취소,"확정 전 취소 가능, 이력 저장","{contract_id, conditions, signature, status}"
4. 협업/계약/결제/정산,결제,/payment/new,"견적 확인, 결제수단(카드/간편/계좌), PG연동, 결제진행/취소, 완료 알림",1. 견적확인→결제→완료/실패,"미결제 시 협업 불가, 이중결제 방지","{payment_id, amount, method, status}"
4. 협업/계약/결제/정산,결제 이력,/payment/history,"결제내역 리스트/상세, 영수증/세금계산서 발급",1. 목록→상세/다운로드,세금계산서 자동발급,{payment_history[]}
4. 협업/계약/결제/정산,정산/지급,/settlement/list,"정산요청/상태(대기/승인/지급완료), 지급내역, 지급요청/취소",1. 요청→승인→지급,지급 승인 후 취소불가,"{settlement_id, amount, fee, status, date}"
5. 리뷰/평가/신고,리뷰 작성,/review/new,"평점(별1~5), 텍스트리뷰(500자), 등록/취소",1. 완료후 작성,"일정기간 내 작성허용, 허위/욕설필터","{target_id, score, content, date}"
